State,Abreviation, 2023 Population,Median Income
Alabama,AL,"5,108,468",53992
Alaska,AK,"733,406",77845
Arizona,AZ,"7,431,344",69056
Arkansas,AR,"3,067,732",52528
California,CA,"38,965,193",84907
Colorado,CO,"5,877,610",82254
Connecticut,CT,"3,617,176",83771
Delaware,DE,"1,031,890",71091
District of Columbia,DC,"678,972",90088
Florida,FL,"22,610,726",63062
Georgia,GA,"11,029,227",66559
Hawaii,HI,"1,435,138",84857
Idaho,ID,"1,964,726",66474
Illinois,IL,"12,549,689",72205
Indiana,IN,"6,862,199",62743
Iowa,IA,"3,207,004",65600
Kansas,KS,"2,940,546",64124
Kentucky,KY,"4,526,154",55573
Louisiana,LA,"4,573,749",52087
Maine,ME,"1,395,722",64767
Maryland,MD,"6,180,253",90203
Massachusetts,MA,"7,001,399",89645
Michigan,MI,"10,037,261",63498
Minnesota,MN,"5,737,915",77720
Mississippi,MS,"2,939,690",48716
Missouri,MO,"6,196,156",61847
Montana,MT,"1,132,812",63249
Nebraska,NE,"1,978,379",66817
Nevada,NV,"3,194,176",66274
New Hampshire,NH,"1,402,054",88465
New Jersey,NJ,"9,290,841",89296
New Mexico,NM,"2,114,371",53992
New York,NY,"19,571,216",74314
North Carolina,NC,"10,835,491",61972
North Dakota,ND,"783,926",66519
Ohio,OH,"11,785,935",62262
Oklahoma,OK,"4,053,824",55826
Oregon,OR,"4,233,358",71562
Pennsylvania,PA,"12,961,683",68957
Rhode Island,RI,"1,095,962",74008
South Carolina,SC,"5,373,555",59318
South Dakota,SD,"919,318",66143
Tennessee,TN,"7,126,489",59695
Texas,TX,"30,503,301",66963
Utah,UT,"3,417,734",79449
Vermont,VT,"647,464",72431
Virginia,VA,"8,715,698",80963
Washington,WA,"7,812,880",84247
West Virginia,WV,"1,770,071",51248
Wisconsin,WI,"5,910,955",67125
Wyoming,WY,"584,057",65204
