State,Abreviation, 2023 Population
Alabama,AL,"5,108,468"
Alaska,AK,"733,406"
Arizona,AZ,"7,431,344"
Arkansas,AR,"3,067,732"
California,CA,"38,965,193"
Colorado,CO,"5,877,610"
Connecticut,CT,"3,617,176"
Delaware,DE,"1,031,890"
District of Columbia,DC,"678,972"
Florida,FL,"22,610,726"
Georgia,GA,"11,029,227"
Hawaii,HI,"1,435,138"
Idaho,ID,"1,964,726"
Illinois,IL,"12,549,689"
Indiana,IN,"6,862,199"
Iowa,IA,"3,207,004"
Kansas,KS,"2,940,546"
Kentucky,KY,"4,526,154"
Louisiana,LA,"4,573,749"
Maine,ME,"1,395,722"
Maryland,MD,"6,180,253"
Massachusetts,MA,"7,001,399"
Michigan,MI,"10,037,261"
Minnesota,MN,"5,737,915"
Mississippi,MS,"2,939,690"
Missouri,MO,"6,196,156"
Montana,MT,"1,132,812"
Nebraska,NE,"1,978,379"
Nevada,NV,"3,194,176"
New Hampshire,NH,"1,402,054"
New Jersey,NJ,"9,290,841"
New Mexico,NM,"2,114,371"
New York,NY,"19,571,216"
North Carolina,NC,"10,835,491"
North Dakota,ND,"783,926"
Ohio,OH,"11,785,935"
Oklahoma,OK,"4,053,824"
Oregon,OR,"4,233,358"
Pennsylvania,PA,"12,961,683"
Rhode Island,RI,"1,095,962"
South Carolina,SC,"5,373,555"
South Dakota,SD,"919,318"
Tennessee,TN,"7,126,489"
Texas,TX,"30,503,301"
Utah,UT,"3,417,734"
Vermont,VT,"647,464"
Virginia,VA,"8,715,698"
Washington,WA,"7,812,880"
West Virginia,WV,"1,770,071"
Wisconsin,WI,"5,910,955"
Wyoming,WY,"584,057"
